YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200305,1152768,5360001,1,6,"S","ROLLA",37.86667,-91.76667,,
200305,1152769,5360002,1,,"","ROLLA",37.95,-91.76667,,
200305,1152770,5360003,1,,"","NEWBURG",37.91667,-91.9,,
200305,1152771,5360004,1,8,"S","ROLLA",37.83333,-91.76667,,
200310,1163214,5371085,1,,"","",,,,
200310,1163214,5371086,1,,"","",,,,
200310,1163214,5371087,1,,"","",,,,
200310,1163214,5371088,1,,"","",,,,
200310,1163214,5371089,1,,"","",,,,
200310,1163214,5371090,1,,"","",,,,
200310,1163214,5371091,1,,"","",,,,
200310,1163214,5371092,1,,"","",,,,
200310,1163214,5371093,1,,"","",,,,
200310,1163215,5371094,1,45,"E","VENICE",,,,
200310,1163216,5371095,1,2,"S","VARNADO",30.85,-89.83333,,
200310,1163432,5371096,1,14,"NNW","OTIS",40.33333,-103.05,,
200309,1162783,5371535,1,,"","MATHIS",,,,
200309,1162783,5371536,1,,"","CORPUS CHRISTI",,,,
200309,1162784,5371537,1,,"","PORT O'CONNOR",,,,
200309,1162940,5371538,1,,"","GROVETON",,,,
200308,1163124,5371345,1,,"","MARSHALL",,,,
200310,1163459,5371475,1,,"","",,,,
200310,1163459,5371476,1,,"","",,,,
200310,1163459,5371477,1,,"","",,,,
200308,1160140,5369305,1,,"","OLD TAMPA BAY",,,,
200308,1160141,5369306,1,5,"ESE","LONGBOAT KEY",,,,
200308,1160142,5369307,1,3,"SE","ST PETERSBURG BEACH",,,,
200308,1160143,5369308,1,2,"W","CAPTIVA PASS",,,,
200307,1160458,5369491,1,,"","COUNTYWIDE",,,,
200307,1160459,5369492,1,,"","COUNTYWIDE",,,,
200307,1160460,5369493,1,,"","LOVETTSVILLE",39.26667,-77.63333,,
200307,1160460,5369494,1,5,"S","FRONT ROYAL",38.85,-78.18333,,
200307,1160461,5369495,1,1,"N","BELMONT",38.16667,-77.86667,,
200307,1160462,5369496,1,,"","WINCHESTER",38.8,-77.28333,,
200308,1160231,5369545,1,,"","NEWBERRYTOWN",40.13333,-76.8,,
200308,1160232,5369546,1,5,"E","HALIFAX",40.46667,-76.81667,,
200307,1157318,5373046,1,,"","PALMYRA",39.8,-91.53333,,
200310,1163375,5371387,1,,"","",,,,
200310,1163375,5371388,1,,"","",,,,
200310,1163375,5371389,1,,"","",,,,
200310,1163375,5371390,1,,"","",,,,
200310,1163375,5371391,1,,"","",,,,
200310,1163375,5371392,1,,"","",,,,
200310,1163375,5371393,1,,"","",,,,
200310,1163375,5371394,1,,"","",,,,
200310,1163375,5371395,1,,"","",,,,
200310,1163452,5371396,1,,"","",,,,
200310,1163453,5371397,1,,"","",,,,
200310,1163454,5371398,1,,"","",,,,
200310,1163502,5371681,1,,"","",,,,
200311,1163678,5371816,1,,"","",,,,
200309,1162772,5371843,1,,"","DUNKIRK",,,,
200309,1162773,5371844,1,,"","DUNKIRK",,,,
200309,1162773,5371845,1,,"","DUNKIRK",,,,
200309,1162773,5371846,1,,"","GRAND ISLAND",,,,
200309,1162774,5371847,1,,"","THIRTY MILE POINT",,,,
200309,1162775,5371848,1,,"","CANTON",40.8,-81.38333,,
200309,1162775,5371849,1,,"","CRESTON",40.98333,-81.88333,,
